,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
0,1,0,3,"Braund, Mr. Owen Harris",0,-0.5654188991856516,1,0,A/5 21171,-0.5021631365156053,S
2,3,1,3,"Heikkinen, Miss. Laina",1,-0.2581920767831734,0,0,STON/O2. 3101282,-0.48857985158126105,S
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.43306827362240224,1,0,113803,0.4204940697654092,S
4,5,0,3,"Allen, Mr. William Henry",0,0.43306827362240224,0,0,373450,-0.48606442844527137,S
5,6,0,3,"Moran, Mr. James",0,-0.10457866558193436,0,0,330877,-0.4778480503138746,Q
6,7,0,1,"McCarthy, Mr. Timothy J",0,1.892395680034173,0,0,17463,0.3955913807191113,S
7,8,0,3,"Palsson, Master. Gosta Leonard",0,-2.101553011198042,3,1,349909,-0.22395733767514675,S
8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,-0.1813853711825539,0,2,347742,-0.42401799520369554,S
9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,-1.1798725439906077,1,0,237736,-0.04293139010125906,C
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",1,-1.947939599996803,1,1,PP 9549,-0.3119971474347855,S
11,12,1,1,"Bonnell, Miss. Elizabeth",1,2.199622502436651,0,0,113783,-0.11378180431879874,S
12,13,0,3,"Saundercock, Mr. William Henry",0,-0.7190323103868906,0,0,A/5. 2151,-0.48606442844527137,S
13,14,0,3,"Andersson, Mr. Anders Johan",0,0.7402950960248803,1,5,347082,-0.018698809778388878,S
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,-1.1798725439906077,0,0,350406,-0.4900045872454856,S
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,1.9692023856347927,0,0,248706,-0.32608351699632776,S
16,17,0,3,"Rice, Master. Eugene",0,-2.101553011198042,4,1,382652,-0.06196408771741135,Q
17,18,1,2,"Williams, Mr. Charles Eugene",0,-0.10457866558193436,0,0,244373,-0.38645367226008004,S
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.12584145121992418,1,0,345763,-0.28583674682049287,S
19,20,1,3,"Masselmani, Mrs. Fatima",1,-0.10457866558193436,0,0,2649,-0.5026662211428032,C
20,21,0,2,"Fynney, Mr. Joseph J",0,0.43306827362240224,0,0,239865,-0.12484966611715335,S
21,22,1,2,"Beesley, Mr. Lawrence",0,0.3562615680217827,0,0,248698,-0.38645367226008004,S
22,23,1,3,"McGowan, Miss. Anna ""Annie""",1,-1.1030658383899883,0,0,330923,-0.48648299485510005,Q
23,24,1,1,"Sloper, Mr. William Thompson",0,-0.10457866558193436,0,0,113788,0.0663224922180623,S
24,25,0,3,"Palsson, Miss. Torborg Danira",1,-1.6407127775943249,3,1,349909,-0.22395733767514675,S
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0.6634883904242608,1,5,347077,-0.016434928955998154,S
26,27,0,3,"Emir, Mr. Farred Chehab",0,-0.10457866558193436,0,0,2631,-0.5026662211428032,C
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,-0.10457866558193436,0,0,330959,-0.4895015026182876,Q
29,30,0,3,"Todoroff, Mr. Lalio",0,-0.10457866558193436,0,0,349216,-0.4891674544258282,S
30,31,0,1,"Uruchurtu, Don. Manuel E",0,0.8171018016254998,0,0,PC 17601,-0.09022134505786501,C
32,33,1,3,"Glynn, Miss. Mary Agatha",1,-0.10457866558193436,0,0,335677,-0.49210144397164657,Q
